blueKills,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueTotalGold,blueKills_set,blueTotalGold_min/kills
9,195,36,17210,0,12002
5,174,43,14712,1,10730
7,186,46,16113,2,12292
4,201,55,15157,3,13428
6,210,57,16400,4,12178
5,225,42,15899,5,13742
7,225,53,16874,6,14626
5,209,48,15305,7,14416
7,189,61,16401,8,15070
4,220,39,15057,9,15852
4,231,28,15474,10,16174
11,157,40,16695,11,16663
7,238,53,17865,12,17307
4,210,52,14979,13,17529
4,224,51,15722,14,18863
3,209,53,15015,15,19098
10,263,56,19733,16,20151
3,203,54,14852,17,21132
5,213,49,16282,18,22173
5,188,48,14994,19,22173
11,214,45,18606,22,23205
4,203,43,15878,,
4,238,56,15773,,
4,238,67,15906,,
6,208,45,16515,,
4,204,44,15415,,
8,209,44,17178,,
7,228,61,17226,,
8,217,53,17474,,
3,233,52,14905,,
9,228,40,18132,,
5,218,51,16053,,
6,203,32,16438,,
5,201,45,15634,,
6,204,56,16085,,
3,235,52,14981,,
2,217,84,15421,,
5,203,48,15665,,
7,234,68,17528,,
3,213,48,15032,,
4,222,48,15483,,
10,231,44,19226,,
9,204,36,16945,,
5,233,16,15000,,
3,252,60,15888,,
1,187,32,12925,,
11,251,48,19250,,
8,218,54,18355,,
2,180,44,13978,,
5,206,56,15851,,
7,209,50,16474,,
6,213,49,16590,,
5,217,53,15737,,
5,248,54,16990,,
3,246,56,15297,,
4,224,53,15651,,
5,181,63,15587,,
10,213,42,17777,,
7,222,55,16426,,
10,236,58,20278,,
2,191,62,13791,,
6,208,70,16505,,
6,229,54,17277,,
9,229,68,18269,,
4,203,41,14166,,
6,188,42,15456,,
4,210,52,15180,,
7,212,46,16179,,
3,233,57,16026,,
4,198,53,14850,,
9,202,62,17347,,
5,200,32,15887,,
8,232,44,17399,,
2,204,38,13828,,
6,242,52,16645,,
6,200,52,16248,,
4,221,52,15310,,
8,212,40,16784,,
13,232,44,19032,,
7,242,46,17518,,
11,256,43,18976,,
6,204,56,16143,,
7,199,51,15868,,
9,235,41,17977,,
10,208,55,18138,,
7,261,68,18025,,
1,241,56,14625,,
5,201,48,15752,,
10,232,64,18480,,
3,210,53,14995,,
7,194,25,15655,,
3,236,73,15562,,
9,223,51,17139,,
7,257,62,19229,,
7,209,48,16972,,
5,213,59,16249,,
5,247,37,16415,,
6,250,70,18012,,
11,242,52,19294,,
5,227,28,15383,,
6,224,53,15777,,
4,209,43,14805,,
6,199,52,15244,,
8,252,44,17574,,
8,222,44,16655,,
6,248,44,16855,,
6,200,46,15786,,
3,233,59,15143,,
9,221,36,17309,,
6,211,60,16416,,
2,231,64,15222,,
5,232,44,15526,,
12,143,48,17597,,
9,187,29,16834,,
12,202,47,19058,,
7,228,48,16806,,
7,227,44,16643,,
6,224,39,16189,,
2,196,60,14095,,
5,217,67,16804,,
8,229,43,17305,,
3,213,40,14539,,
9,192,43,17530,,
10,207,44,18431,,
3,193,40,14032,,
9,205,40,17869,,
7,183,37,15974,,
5,240,61,16108,,
6,212,52,16302,,
7,215,52,16750,,
7,226,36,16506,,
6,241,36,16389,,
4,215,48,15760,,
4,226,33,15176,,
5,191,48,15196,,
6,228,55,16250,,
9,199,37,16541,,
12,227,37,18657,,
5,223,64,16873,,
3,211,55,14383,,
4,192,32,14420,,
4,183,30,14720,,
7,251,64,17406,,
5,172,40,15210,,
10,192,40,17272,,
12,206,60,19358,,
4,232,40,16855,,
3,191,60,15209,,
13,207,31,19542,,
4,232,53,15267,,
3,224,56,15243,,
8,203,48,16214,,
8,178,56,15976,,
6,230,47,16557,,
6,198,59,16142,,
7,230,56,17984,,
13,222,71,20038,,
10,213,50,19571,,
3,200,48,14557,,
6,205,56,16029,,
7,207,46,18053,,
9,225,60,18098,,
